Location,2008__White,2008__Black,2008__Hispanic,2008__Asian/Native Hawaiian and Pacific Islander,2008__American Indian/Alaska Native,2008__Multiple Races,2008__Total,2009__White,2009__Black,2009__Hispanic,2009__Asian/Native Hawaiian and Pacific Islander,2009__American Indian/Alaska Native,2009__Multiple Races,2009__Total,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total
Montana,0.19,0.655,0.316,N/A,0.505,0.28,0.22,0.198,N/A,0.293,N/A,0.492,0.21,0.22,0.175,N/A,0.254,N/A,0.445,0.23,0.2,0.189,0.561,0.271,0.468,0.514,0.23,0.22,0.197,N/A,0.242,N/A,0.412,0.28,0.22,0.17,N/A,0.25,N/A,0.509,0.23,0.2,0.135,0.662,0.273,N/A,0.398,0.17,0.16,0.119,N/A,0.142,N/A,0.39,0.16,0.14,0.086,N/A,0.164,N/A,0.263,N/A,0.1,0.091,N/A,0.1299,N/A,0.3108,0.1479,0.11,0.09158,N/A,N/A,N/A,0.24879,N/A,0.10001,0.08561,N/A,0.11364,N/A,0.32294,0.08872,0.103
Nebraska,0.098,0.225,0.286,0.117,0.4,N/A,0.12,0.106,0.198,0.31,N/A,0.369,0.14,0.13,0.108,0.156,0.323,0.089,0.381,0.23,0.14,0.108,0.219,0.303,0.172,0.379,0.15,0.14,0.096,0.224,0.307,0.109,0.375,0.15,0.13,0.098,0.208,0.247,0.133,0.463,0.13,0.12,0.084,0.133,0.261,N/A,0.367,0.11,0.11,0.071,0.155,0.194,N/A,0.295,0.08,0.09,0.076,0.197,0.237,N/A,0.297,0.11,0.1,0.0754,0.1481,0.2276,0.0817,0.2645,0.1118,0.1,0.07667,0.10742,0.21343,0.10415,0.23983,0.14721,0.09954,0.06425,0.18851,0.2125,0.11464,0.2745,0.12119,0.09433
Nevada,0.179,0.232,0.393,0.142,0.334,0.19,0.24,0.18,0.223,0.389,0.186,0.318,0.21,0.25,0.198,0.247,0.369,0.204,0.44,0.19,0.25,0.183,0.233,0.376,0.222,0.305,0.16,0.25,0.182,0.265,0.373,0.193,0.407,0.24,0.25,0.182,0.249,0.329,0.205,0.342,0.15,0.23,0.125,0.145,0.272,0.155,0.232,0.12,0.18,0.091,0.114,0.236,0.118,0.181,0.07,0.14,0.083,0.098,0.217,0.092,0.187,0.08,0.13,0.0921,0.1109,0.197,0.0966,0.1832,0.0922,0.13,0.08668,0.12268,0.2106,0.0894,0.24262,0.09207,0.13219,0.09338,0.08618,0.21704,0.1135,0.11343,0.08666,0.13491
New Hampshire,0.122,0.284,0.173,0.14,N/A,0.14,0.13,0.117,0.224,0.21,0.118,N/A,N/A,0.12,0.123,N/A,0.288,0.148,N/A,0.18,0.13,0.111,0.238,0.22,N/A,N/A,N/A,0.12,0.127,0.229,0.164,N/A,N/A,0.19,0.13,0.124,N/A,0.171,0.198,N/A,0.15,0.13,0.106,N/A,0.26,N/A,N/A,N/A,0.11,0.077,N/A,0.137,N/A,N/A,N/A,0.08,0.075,N/A,N/A,N/A,N/A,N/A,0.08,0.0646,N/A,0.0929,N/A,N/A,N/A,0.07,0.05927,N/A,0.14045,0.0801,N/A,N/A,0.06311,0.06909,0.15646,0.20539,0.13417,N/A,N/A,0.07855
New Jersey,0.086,0.159,0.301,0.152,0.23,0.15,0.14,0.088,0.161,0.308,0.138,N/A,0.15,0.14,0.091,0.155,0.316,0.161,0.244,0.14,0.15,0.091,0.161,0.302,0.143,N/A,0.16,0.15,0.087,0.167,0.29,0.152,N/A,0.14,0.15,0.093,0.177,0.309,0.131,N/A,0.17,0.15,0.073,0.141,0.254,0.121,N/A,0.14,0.13,0.054,0.108,0.215,0.102,N/A,0.09,0.1,0.044,0.091,0.208,0.069,N/A,0.07,0.09,0.0478,0.097,0.1916,0.0633,N/A,0.0641,0.09,0.04632,0.09088,0.18434,0.05825,N/A,0.10664,0.08626,0.04881,0.10438,0.20019,0.05999,N/A,0.09348,0.09313
New Mexico,0.157,0.124,0.276,0.128,0.5,0.18,0.24,0.158,0.151,0.264,0.181,0.427,0.09,0.23,0.144,0.226,0.254,0.183,0.459,0.14,0.23,0.143,0.099,0.266,0.203,0.417,0.18,0.23,0.147,0.175,0.24,0.151,0.398,0.09,0.22,0.133,0.241,0.256,0.157,0.411,0.17,0.22,0.109,0.117,0.192,0.162,0.322,0.09,0.17,0.084,N/A,0.138,0.073,0.255,N/A,0.13,0.062,N/A,0.116,N/A,0.239,0.06,0.11,0.0727,N/A,0.1118,N/A,0.2267,0.0775,0.11,0.06392,0.09382,0.12716,N/A,0.21304,0.07673,0.11209,0.07911,N/A,0.1227,0.0649,0.24945,N/A,0.11807
New York,0.089,0.156,0.244,0.175,0.274,0.14,0.13,0.089,0.146,0.237,0.171,0.175,0.14,0.13,0.09,0.153,0.241,0.18,0.276,0.14,0.14,0.087,0.145,0.232,0.171,0.181,0.13,0.13,0.081,0.132,0.223,0.184,0.176,0.12,0.13,0.084,0.132,0.218,0.161,0.218,0.11,0.12,0.064,0.102,0.182,0.127,0.11,0.1,0.1,0.052,0.091,0.15,0.096,0.112,0.08,0.08,0.045,0.075,0.126,0.09,0.115,0.06,0.07,0.043,0.071,0.1197,0.0795,0.1126,0.0556,0.07,0.03977,0.0643,0.11324,0.06876,0.12179,0.05535,0.06187,0.03911,0.06543,0.11282,0.07248,0.12851,0.05625,0.06201
North Carolina,0.142,0.193,0.473,0.184,0.282,0.17,0.18,0.14,0.199,0.462,0.177,0.323,0.18,0.18,0.148,0.214,0.445,0.198,0.32,0.16,0.19,0.144,0.203,0.44,0.196,0.267,0.14,0.19,0.147,0.204,0.434,0.231,0.246,0.12,0.19,0.138,0.206,0.401,0.196,0.232,0.15,0.18,0.12,0.161,0.355,0.119,0.202,0.11,0.15,0.099,0.128,0.346,0.104,0.181,0.1,0.13,0.093,0.124,0.302,0.107,0.211,0.08,0.12,0.0991,0.1247,0.3049,0.0864,0.1822,0.0799,0.13,0.101,0.12492,0.30276,0.08611,0.20746,0.08868,0.12875,0.10512,0.13601,0.32008,0.09112,0.16334,0.10484,0.13631
North Dakota,0.089,N/A,0.18,N/A,0.425,N/A,0.11,0.1,0.368,0.195,N/A,0.261,N/A,0.11,0.094,N/A,N/A,N/A,0.447,N/A,0.12,0.091,N/A,0.244,N/A,0.41,0.14,0.12,0.099,0.299,0.301,N/A,0.34,N/A,0.12,0.095,N/A,0.208,N/A,0.347,0.29,0.12,0.066,N/A,N/A,N/A,0.289,N/A,0.09,0.068,N/A,0.203,N/A,0.314,N/A,0.1,0.062,0.28,0.293,N/A,0.297,N/A,0.09,0.0674,N/A,0.1813,N/A,0.2729,N/A,0.09,0.06396,0.31611,N/A,N/A,0.29101,N/A,0.08954,0.06257,N/A,0.14784,N/A,0.25619,N/A,0.08582
Ohio,0.122,0.204,0.256,0.117,0.202,0.13,0.14,0.131,0.189,0.255,0.121,0.212,0.13,0.14,0.133,0.178,0.267,0.131,0.189,0.11,0.14,0.13,0.18,0.258,0.127,0.188,0.13,0.14,0.124,0.187,0.231,0.14,0.13,0.11,0.14,0.118,0.162,0.229,0.15,0.173,0.13,0.13,0.09,0.128,0.178,0.08,N/A,0.1,0.1,0.069,0.092,0.162,0.091,N/A,0.07,0.08,0.06,0.074,0.155,0.045,N/A,0.06,0.07,0.0626,0.083,0.1566,0.0433,N/A,0.0695,0.07,0.06986,0.09893,0.14911,0.0691,N/A,0.07313,0.07721,0.07296,0.095,0.1668,0.06458,N/A,0.07585,0.07997
